svg,icon,title,link
sitka_v10.svg,for-more-information,,https://forms.gle/NQMtAVzj84K6EKYP7
sitka_v10.svg,extreme-rain-events,,modals/modal_google_charts2.html
sitka_v10.svg,stronger-currents,,modals/modal_highcharts.html
sitka_v10.svg,sea-surface-temperature,,modals/modal_image.html
sitka_v10.svg,ocean-acidification,,https://www.fisheries.noaa.gov/alaska/science-data/alaska-shellfish-ocean-acidification-and-climate-research
sitka_v10.svg,increasing-stream-temperatures,,modals/modal_google_charts3.html
sitka_v10.svg,herring,,modals/modal_google_charts4.html
sitka_v10.svg,shiner-perch,,modals/modal_google_charts_column_chart2.html
sitka_v10.svg,halibut,,modals/small_halibut.html
sitka_v10.svg,jellyfish,,modals/modal_google_charts2.html
sitka_v10.svg,dogfish,,modals/modal_highcharts.html
sitka_v10.svg,king-salmon,,modals/modal_image.html
sitka_v10.svg,coho-salmon,,https://alaskasalmonandpeople.org/topics/the-declining-size-and-age-of-salmon/
sitka_v10.svg,pacific-cod,,https://www.st.nmfs.noaa.gov/stocksmart?stockname=Pacific%20cod%20-%20Gulf%20of%20Alaska&stockid=10506
sitka_v10.svg,sea-cucumbers,,modals/modal_google_charts4.html
sitka_v10.svg,black-cod,,modals/sablefish_length.html
sitka_v10.svg,lingcod,,modals/modal_google_charts.html
sitka_v10.svg,squid,,modals/modal_google_charts2.html
sitka_v10.svg,octopus,,modals/modal_highcharts.html
sitka_v10.svg,humpback-whales,,modals/modal_image.html
sitka_v10.svg,orcas,,https://www.noaa.gov/
sitka_v10.svg,clouds,,modals/modal_google_charts3.html
sitka_v10.svg,salmon-pens,,modals/modal_google_charts4.html
sitka_v10.svg,sitka,,modals/modal_google_charts_column_chart2.html
sitka_v10.svg,longliner,,modals/modal_google_charts.html
sitka_v10.svg,troller,,modals/modal_google_charts2.html
sitka_v10.svg,sperm-whales,,modals/modal_highcharts.html
